25::10::2022 18:25:05 [main] INFO  com.exhibit.dao.UserDao  findByLogin problems with findByUser
25::10::2022 18:48:35 [main] INFO  com.exhibit.dao.ConnectionPool  commitAndClose Problems with close connection
25::10::2022 18:49:46 [main] INFO  com.exhibit.dao.ConnectionPool  commitAndClose Problems with close connection
25::10::2022 18:51:28 [main] INFO  com.exhibit.dao.ConnectionPool  commitAndClose Problems with close connection
25::10::2022 18:51:50 [main] INFO  com.exhibit.dao.ConnectionPool  commitAndClose Problems with close connection
25::10::2022 18:52:37 [main] INFO  com.exhibit.dao.ConnectionPool  getConnection Problems with getConnection
25::10::2022 18:53:22 [main] INFO  com.exhibit.dao.ConnectionPool  commitAndClose Problems with close connection
25::10::2022 18:53:53 [main] INFO  com.exhibit.dao.ConnectionPool  getConnection Problems with getConnection
25::10::2022 18:54:06 [main] INFO  com.exhibit.dao.ConnectionPool  commitAndClose Problems with close connection
25::10::2022 18:55:04 [main] INFO  com.exhibit.dao.ConnectionPool  getConnection Problems with getConnection
25::10::2022 18:55:44 [main] INFO  com.exhibit.dao.ConnectionPool  commitAndClose Problems with close connection
25::10::2022 19:16:46 [main] ERROR com.exhibit.dao.UserDao  findByLogin Problems user findByLogin
07::11::2022 04:42:39 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  rollbackConnection java.sql.SQLIntegrityConstraintViolationException: Cannot add or update a child row: a foreign key constraint fails (`exhibition_db_test`.`exhibition_halls`, CONSTRAINT `fk_exhibition_has_hall_hall1` FOREIGN KEY (`hall_id`) REFERENCES `hall` (`id`) ON DELETE CASCADE ON UPDATE CASCADE)
07::11::2022 04:42:39 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  rollbackConnection java.sql.SQLIntegrityConstraintViolationException: Duplicate entry '22-4' for key 'exhibition_halls.PRIMARY'
07::11::2022 04:42:39 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  rollbackConnection java.sql.SQLIntegrityConstraintViolationException: Duplicate entry '25-7' for key 'exhibition_halls.PRIMARY'
07::11::2022 04:42:39 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  rollbackConnection java.sql.SQLIntegrityConstraintViolationException: Duplicate entry '26-6' for key 'exhibition_halls.PRIMARY'
07::11::2022 04:42:39 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  rollbackConnection java.sql.SQLIntegrityConstraintViolationException: Cannot add or update a child row: a foreign key constraint fails (`exhibition_db_test`.`exhibition_halls`, CONSTRAINT `fk_exhibition_has_hall_hall1` FOREIGN KEY (`hall_id`) REFERENCES `hall` (`id`) ON DELETE CASCADE ON UPDATE CASCADE)
07::11::2022 04:43:56 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  rollbackConnection java.sql.SQLIntegrityConstraintViolationException: Cannot add or update a child row: a foreign key constraint fails (`exhibition_db_test`.`exhibition_halls`, CONSTRAINT `fk_exhibition_has_hall_hall1` FOREIGN KEY (`hall_id`) REFERENCES `hall` (`id`) ON DELETE CASCADE ON UPDATE CASCADE)
07::11::2022 04:43:56 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  rollbackConnection java.sql.SQLIntegrityConstraintViolationException: Duplicate entry '31-6' for key 'exhibition_halls.PRIMARY'
07::11::2022 04:43:56 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  rollbackConnection java.sql.SQLIntegrityConstraintViolationException: Cannot add or update a child row: a foreign key constraint fails (`exhibition_db_test`.`exhibition_halls`, CONSTRAINT `fk_exhibition_has_hall_hall1` FOREIGN KEY (`hall_id`) REFERENCES `hall` (`id`) ON DELETE CASCADE ON UPDATE CASCADE)
07::11::2022 04:43:56 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  rollbackConnection java.sql.SQLIntegrityConstraintViolationException: Duplicate entry '38-4' for key 'exhibition_halls.PRIMARY'
07::11::2022 04:46:05 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  rollbackConnection java.sql.SQLIntegrityConstraintViolationException: Duplicate entry '47-6' for key 'exhibition_halls.PRIMARY'
07::11::2022 04:47:47 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  rollbackConnection java.sql.SQLIntegrityConstraintViolationException: Duplicate entry '53-2' for key 'exhibition_halls.PRIMARY'
07::11::2022 04:47:47 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  rollbackConnection java.sql.SQLIntegrityConstraintViolationException: Duplicate entry '54-7' for key 'exhibition_halls.PRIMARY'
07::11::2022 04:51:02 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  rollbackConnection java.sql.SQLIntegrityConstraintViolationException: Cannot add or update a child row: a foreign key constraint fails (`exhibition_db_test`.`exhibition_halls`, CONSTRAINT `fk_exhibition_has_hall_hall1` FOREIGN KEY (`hall_id`) REFERENCES `hall` (`id`) ON DELETE CASCADE ON UPDATE CASCADE)
07::11::2022 04:51:02 [main] ERROR com.exhibit.dao.connection.TestConnectionManager  rollbackConnection java.sql.SQLIntegrityConstraintViolationException: Cannot add or update a child row: a foreign key constraint fails (`exhibition_db_test`.`exhibition_halls`, CONSTRAINT `fk_exhibition_has_hall_hall1` FOREIGN KEY (`hall_id`) REFERENCES `hall` (`id`) ON DELETE CASCADE ON UPDATE CASCADE)
